Name,Palette,Threadcount,Origin URL
A J Gallacher,R#FF0000 RED; DR#B22222 DARK RED; K#101010 BLACK; BG#2E8B57 BOTTLE GREEN; W#FFFFFF WHITE; RAB#0000FF RANGERS BLUE;,BG/4 RAB2 K2 RAB2 K6 DR14 R2 DR2 R2 DR2 R40 W8 RAB2 W6 RAB4 W6 RAB4 W4 RAB6 W4 RAB6 W2 RAB8 W2 BG/6,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10053
Abaco Loyalist,N#CCBAAF MORNING GREY; R#B62531 SCARLET; B#3B5554 OLD BLUE;,B/120 R4 B4 R12 B2 R4 B2 R12 B2 R4 B2 R12 B4 N/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10257
Abadia Da Cova,K#101010 BLACK; W#E0E0E0 WHITE; SB#A8ACE8 SKY BLUE; Y#E8C000 YELLOW; G#006818 GREEN; DR#880000 DARK RED; LG#289C18 LIGHT GREEN;,G/60 LG2 G6 DR60 K2 Y/6,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5802
Abbotsford Check,K#101010 BLACK; B#2C2C80 BLUE; DY#E8C000 GOLD; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,G/10 K4 W6 K6 DY4 B8 K6 W6 K6 W6 K6 W6 K6 W6 K6 W6 K6 G8 R6 G6 W4 G4 K/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=9
Abel (2015),G#007800 GREEN; W#FFFFFF WHITE; B#2C2C80 BLUE; K#101010 BLACK; N#A0A0A0 GREY; Y#FCCC00 YELLOW; LR#E87878 LIGHT RED;,B44 G44 W12 B8 Y14 G40 B48 K40 LR4 N48 K12 N48 LR4 K40,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11368
Abercrombie,DG#003820 DARK GREEN; K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; W#E0E0E0 WHITE;,G/56 W4 G28 K28 B8 K8 B8 K8 B/28,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10
Abercrombie (McKinlay),K#101010 BLACK; B#2C4084 BLUE; R#DC0000 RED; G#005020 MOD GREEN; W#E0E0E0 WHITE;,K/4 B16 R2 K28 G28 W2 G28 R2 K/24,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11
Abercrombie (Wilsons No 2/64),K#101010 BLACK; P#5A008C PURPLE; G#005020 MOD GREEN; Y#E8C000 YELLOW;,K/4 P24 K24 G24 Y4 G24 K/24,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=12
Aberdeen,P#780078 PURPLE; A#5C8CA8 AZURE; LG#289C18 LIGHT GREEN; K#101010 BLACK; R#C80000 RED; C#A00048 CRIMSON; WW#F8F8F8 WILSON WHITE;,WW4 C6 R46 WW4 K32 LG8 WW2 R12 C6 WW2 C6 R12 WW2 A20 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 K24 LG8 K24 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 P12 A8 WW4 A8 P12 WW4 K32 LG8 WW4 LG8 K32 WW4 P12 A8 WW4 A8 P12 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 K24 LG8 K24 WW4 P6 R16 C6 WW4 C6 R16 P6 WW4 A20 WW2 R12 C6 WW2 C6 R12 WW2 LG8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=13
Aberdeen (Johnston and Smith),K#101010 BLACK; MP#500050 PURPLE; W#E0E0E0 WHITE; P#5A008C PURPLE; R#DC0000 RED; N#808080 MISSING COLOUR;,K/2 MP8 W26 MP2 K10 P8 W2 P8 K10 W2 K6 R10 N6 W2 N6 R10 K26 R2 W40 N6 R/2,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=14
Aberfeldy,AB#506878 ANC BLUE; A#5C8CA8 AZURE; RR#901C38 MARROON; AG#007460 ANC GREEN; W#E0E0E0 WHITE; K#101010 BLACK;,W/4 AB4 K4 A4 AB64 RR4 AB4 RR4 K26 AB4 AG32 RR4 AG4 W/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5729
Abergavenny,AW#E8CCB8 ANC WHITE; K#101010 BLACK; FG#A07C58 FADED GREEN; LN#C0C0C0 LIGHT GRAY;,AW/18 K22 AW8 FG4 K48 AW4 LN4 K6 FG4 LN4 AW12 FG24 K8 LN6 AW4 K41 AW/36,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4885
Aberlour,AW#E8CCB8 ANC WHITE; AS#CC4438 ANC SCARLET; SR#A03400 SIENNA; BR#B03000 BRICK RED; K#101010 BLACK; LT#A08858 LIGHT BROWN; ST#98481C SHALE BROWN;,LT/10 ST46 K44 AW8 K8 AW8 K8 AW/46,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=21
"Abernethy (Colerain, USA)",Y#E0A126 GOLDEN YELLOW; HG#355F3B HUNTER GREEN; G#273F2A GORDONS GREEN; R#EC0416 RED; B#0B148E ULTRAMARINE;,Y/2 B28 R56 HG28 R2 G28 Y/2,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10333
Aberuchill,LP#B468AC MAUVE; K#101010 BLACK; OT#603800 OLIVE BROWN; DP#440044 DARK PURPLE; G#006818 GREEN; O#D87C00 ORANGE;,LP/8 K2 OT10 DP30 OT30 G55 K4 O/6,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=23
Aboyne,K#101010 BLACK; DR#880000 DARK RED; E#4C3428 DRAB; MY#D09800 M YELLOW; DW#B8B8B8 OFF WHITE;,DR/8 MY12 DR22 MY64 K16 E22 DW2 K16 MY8 DR56 MY2 K2 MY/24,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5170
Aceo,K#101010 BLACK; N#646464 GREY; Y#BC8C00 YELLOW; LG#789484 LIGHT GREEN; W#FFFFFF WHITE;,K/4 LG20 N10 LG40 N10 Y6 N14 K6 N14 K8 N8 W/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11433
Agincourt,K#101010 BLACK; MY#D09800 M YELLOW; NB#003C64 NAVY BLUE;,MY/8 NB116 K24 MY28 K24 NB8 MY16 K24 NB8 MY4 NB4 MY12 K4 MY/16,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5276
Agnew,B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,B/106 G84 R/28,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=26
Ailsa Craig,K#101010 BLACK; DY#E8C000 YELLOW; DN#5C5C5C DARK GREY; W#E0E0E0 WHITE; XR#C80000 BASIC RED; N#888888 GRAY; R#C80000 RED; WW#F8F8F8 WILSON WHITE;,R/10 WW4 N40 DY4 K32 WW36 K4 WW/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=27
Ailsa Gold,W#F0E0C8 WHITE; P#780078 PURPLE; MY#F8B400 M YELLOW;,W/8 P6 W64 MY56 W6 MY/16,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5629
Ailsa Navy,W#F0E0C8 WHITE; RB#1C0070 ROYAL BLUE; K#101010 BLACK;,RB/16 W6 RB56 W64 K6 W/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5615
Ailsa Pink,W#F0E0C8 WHITE; CLR#E87878 CORAL; K#101010 BLACK;,CLR/16 W6 CLR56 W64 K6 W/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5611
Ailsa Red,XR#D40000 BASIC RED; W#F0E0C8 WHITE; DR#880000 DARK RED; SCR#C8002C SCARLET;,SCR/16 DR6 SCR56 W64 DR6 W/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5595
Ailsa Royal Blue,W#F0E0C8 WHITE; B#2C2C80 BLUE; NB#003C64 NAVY BLUE; A#5C8CA8 AZURE;,B/16 A6 B56 W64 NB6 W/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5619
"Ailsa, Grey",DN#5C5C5C DARK GREY; G#00881C GREEN; N#888888 GREY; W#E0E0E0 WHITE;,G/6 W2 N2 W2 N2 DN50 N18 W18 N/18,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=5008
Ainslie,K#101010 BLACK; B#2C2C80 BLUE; R#C80000 RED; WW#FCFCFC WILSON WHITE;,B/48 K12 B8 R8 B8 R48 WW8 K4 WW/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=28
Ainslie #2,K#101010 BLACK; CW#FCFCFC CLEAR; DR#880000 DARK RED; G#006818 GREEN; MY#D09800 M YELLOW;,DR/24 K8 DR8 K16 DR8 K8 DR24 G72 DR8 MY4 DR8 K8 DR40 CW4 DR/8,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=29
"Ainslie, Lake",B#2C2C80 BLUE; CW#FCFCFC CLEAR; DY#E8C000 GOLD; G#006818 GREEN; R#C80000 RED;,B/6 R2 DY6 R4 G20 CW20 B/12,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=30
Aisteach,P#3D2E60 PURPLE; G#005020 GREEN; R#97342F RED; K#1C1714 BLACK;,K/4 P14 R12 K8 R28 G32 P/64,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11406
Aitken,B#00008C BLUE; R#8C0000 RED; Y#C88C00 YELLOW; K#000000 BLACK;,R/8 K4 R40 K32 B24 K4 B4 Y/10,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4891
Aiton / Ayton,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED;,B/12 K2 G6 K2 B6 K2 G20 R/6,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=31
Akins Clan (Personal),LB#87CEFA LIGHT BLUE; G#008000 GREEN; DB#00008B DARK BLUE; M#800000 MAROON; C#DC143C CRIMSON;,LB/6 G44 DB38 M6 C6 M6 C6 M/42,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=33
Akins Red Dress,R#C8002C RED; G#006818 GREEN; K#101010 BLACK; W#FFFFFF WHITE; Y#FFD700 YELLOW;,G/12 R8 G10 R26 K26 W10 K26 R26 Y/12,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=32
Akins of Candler (Personal),Y#E8C000 YELLOW; B#2C2C80 BLUE; BL#1474B4 BALMORAL BLUE; K#101010 BLACK; R#C80000 RED; G#006818 GREEN;,G/24 R4 G4 R4 K24 B24 Y4 B24 K4 G22 R4 G/4,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=34
